"IdNormativaRef";"IdNorActual";"IdNorAnterior";"TipoRef"
1457;1467;1466;3
1458;1469;447;2
1459;1470;447;2
1460;1470;1469;2
1461;1473;1192;2
1462;1473;1243;2
1463;1473;1346;2
1464;1473;1359;2
1465;1473;1369;2
1466;1473;1389;2
1467;1473;1408;2
1468;1473;1425;2
1469;1473;1459;2
1470;1473;1460;2
1471;1473;1461;1
1472;1474;1192;3
1473;1474;1243;3
1474;1474;1346;3
1475;1474;1359;3
1476;1474;1369;3
1477;1474;1389;3
1478;1474;1408;3
1479;1474;1425;3
1480;1474;1459;3
1481;1474;1460;3
1482;1474;1473;3
1483;1067;295;1
1484;1475;1067;2
1485;1476;1067;3
1486;1476;1475;3
1487;1477;299;2
1488;1477;654;2
1489;1477;730;2
1490;1477;1037;2
1491;1477;1462;2
1492;1477;1463;1
1493;1478;299;3
1494;1478;654;3
1495;1478;730;3
1496;1478;1037;3
1497;1478;1462;3
1498;1478;1477;3
1499;1481;1192;2
1500;1481;1243;2
1501;1481;1346;2
1502;1481;1359;2
1503;1481;1369;2
1504;1481;1389;2
1505;1481;1408;2
1506;1481;1425;2
1507;1481;1459;2
1508;1481;1460;2
1509;1481;1473;2
1510;1481;1474;1
1511;1482;1192;3
1512;1482;1243;3
1513;1482;1346;3
1514;1482;1359;3
1515;1482;1369;3
1516;1482;1389;3
1517;1482;1408;3
1518;1482;1425;3
1519;1482;1459;3
1520;1482;1460;3
1521;1482;1473;3
1522;1482;1481;3
1523;1483;982;2
1524;1483;1073;2
1525;1483;1137;2
1526;1483;1287;2
1527;1483;1402;2
1528;1483;1428;2
1529;1483;1429;1
1530;1484;982;3
1531;1484;1073;3
1532;1484;1137;3
1533;1484;1287;3
1534;1484;1402;3
1535;1484;1428;3
1536;1484;1483;3
1537;1487;1354;2
1538;1487;1387;2
1539;1488;1354;3
1540;1488;1387;3
1541;1488;1487;3
1542;897;844;2
1546;1112;666;3
1547;1489;460;2
1548;1489;581;2
1549;1489;666;2
1550;1489;708;2
1551;1489;844;2
1552;1489;897;2
1553;1489;1105;2
1554;1489;1112;1
1555;1490;460;3
1556;1490;581;3
1557;1490;666;3
1558;1490;708;3
1559;1490;844;3
1560;1490;897;3
1561;1490;1105;3
1562;1490;1489;3
1563;1256;250;2
1564;250;57;2
1565;1257;250;3
1566;1491;57;2
1567;1491;1256;2
1568;1491;250;2
1569;1491;1257;1
1570;1492;57;3
1571;1492;1256;3
1572;1492;250;3
1573;1492;1491;3
1574;1494;1191;2
1575;1494;1241;2
1576;1494;1280;2
1577;1494;1298;2
1578;1494;1336;2
1579;1494;1357;2
